operation,algorithm,key_gen_time,sign_time,verify_time,aggregate_time,aggregate_verify_time,encrypt_time,decrypt_time,total_time,memory_peak_mb,memory_avg_mb
key_generation,Linear_HMAC,2.2649765014648438e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.578125,0.0
signing_1024,Linear_HMAC,0.0,1.2421607971191407e-05,0.0,0.0,0.0,0.0,0.0,0.0,90.703125,0.0
signing_4096,Linear_HMAC,0.0,4.267692565917968e-06,0.0,0.0,0.0,0.0,0.0,0.0,90.703125,0.0
signing_16384,Linear_HMAC,0.0,4.148483276367187e-06,0.0,0.0,0.0,0.0,0.0,0.0,90.703125,0.0
signing_65536,Linear_HMAC,0.0,3.957748413085938e-06,0.0,0.0,0.0,0.0,0.0,0.0,90.703125,0.0
verification_1024,Linear_HMAC,0.0,0.0,4.482269287109375e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_4096,Linear_HMAC,0.0,0.0,3.933906555175781e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_16384,Linear_HMAC,0.0,0.0,4.029273986816406e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_65536,Linear_HMAC,0.0,0.0,3.838539123535157e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregation_10,Linear_HMAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.734375,0.0
aggregation_50,Linear_HMAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.734375,0.0
aggregation_100,Linear_HMAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.734375,0.0
aggregation_500,Linear_HMAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.953125,0.0
key_generation,Polynomial_HMAC,2.1219253540039063e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.4828125,0.0
signing_1024,Polynomial_HMAC,0.0,2.837181091308594e-06,0.0,0.0,0.0,0.0,0.0,0.0,92.484375,0.0
signing_4096,Polynomial_HMAC,0.0,1.7404556274414062e-06,0.0,0.0,0.0,0.0,0.0,0.0,92.484375,0.0
signing_16384,Polynomial_HMAC,0.0,1.8835067749023438e-06,0.0,0.0,0.0,0.0,0.0,0.0,92.484375,0.0
signing_65536,Polynomial_HMAC,0.0,1.811981201171875e-06,0.0,0.0,0.0,0.0,0.0,0.0,92.5703125,0.0
verification_1024,Polynomial_HMAC,0.0,0.0,1.931190490722656e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_4096,Polynomial_HMAC,0.0,0.0,1.6450881958007813e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_16384,Polynomial_HMAC,0.0,0.0,1.2874603271484376e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_65536,Polynomial_HMAC,0.0,0.0,1.6689300537109375e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregation_10,Polynomial_HMAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.609375,0.0
aggregation_50,Polynomial_HMAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.609375,0.0
aggregation_100,Polynomial_HMAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.609375,0.0
aggregation_500,Polynomial_HMAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.609375,0.0
key_generation,Lattice_HMAC,4.482269287109375e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.640625,0.0
signing_1024,Lattice_HMAC,0.0,8.89301300048828e-06,0.0,0.0,0.0,0.0,0.0,0.0,92.671875,0.0
signing_4096,Lattice_HMAC,0.0,4.57763671875e-06,0.0,0.0,0.0,0.0,0.0,0.0,92.684375,0.0
signing_16384,Lattice_HMAC,0.0,3.886222839355469e-06,0.0,0.0,0.0,0.0,0.0,0.0,92.6875,0.0
signing_65536,Lattice_HMAC,0.0,4.553794860839844e-06,0.0,0.0,0.0,0.0,0.0,0.0,92.6953125,0.0
verification_1024,Lattice_HMAC,0.0,0.0,3.814697265625e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_4096,Lattice_HMAC,0.0,0.0,3.2901763916015627e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_16384,Lattice_HMAC,0.0,0.0,3.6716461181640626e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verification_65536,Lattice_HMAC,0.0,0.0,3.790855407714844e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregation_10,Lattice_HMAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.734375,0.0
aggregation_50,Lattice_HMAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.734375,0.0
aggregation_100,Lattice_HMAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.734375,0.0
aggregation_500,Lattice_HMAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.734375,0.0
